settlement_date,participant_id,run_type,energy_amount_aud,fcas_amount_aud,interconnector_residue_aud,total_aud,settlement_status
2025-01-16,ENERGY_AUSTRALIA,FINAL,247119.42,40010.89,-944.29,286186.02,FINAL
2024-03-07,DELTA_ELECTRICITY,FINAL,155069.63,6871.93,-6464.39,155477.17,FINAL
2025-10-09,DELTA_ELECTRICITY,FINAL,-771815.98,46622.88,28.86,-725164.24,FINAL
2024-10-31,ENERGY_AUSTRALIA,FINAL,4683707.69,25598.95,-12569.02,4696737.62,PENDING
2024-02-15,ACCIONA,REVISED,-729092.12,5708.65,14648.27,-708735.2,PENDING
2024-08-08,ERM_POWER,REVISED,1393827.23,8336.98,-36.63,1402127.58,FINAL
2025-06-12,AGL_ENERGY,PRELIMINARY,-161994.55,-4725.26,-20661.83,-187381.64,PENDING
2024-06-20,CS_ENERGY,PRELIMINARY,443507.4,-42949.67,-8020.22,392537.51,PENDING
2025-05-01,AGL_ENERGY,FINAL,876538.37,18551.54,-7317.4,887772.51,FINAL
2025-07-24,ERM_POWER,PRELIMINARY,132957.14,13189.9,735.63,146882.67,PENDING
2024-07-04,GLENCORE,FINAL,-77325.21,13697.04,-4524.62,-68152.79,DISPUTED
2024-10-03,NEOEN,REVISED,819134.67,4177.69,-7307.42,816004.94,FINAL
2023-11-30,HYDRO_TASMANIA,REVISED,757684.7,196163.53,-8167.71,945680.52,FINAL
2024-06-20,STANWELL,FINAL,412691.22,-6501.3,18408.56,424598.48,FINAL
2024-08-08,GLENCORE,FINAL,4258485.72,-6798.89,13400.01,4265086.84,FINAL
2023-11-16,HYDRO_TASMANIA,PRELIMINARY,-218933.24,-44607.61,8950.98,-254589.87,PENDING
2025-01-02,ERM_POWER,FINAL,130562.4,22035.36,5041.06,157638.82,FINAL
2025-07-17,HYDRO_TASMANIA,FINAL,-510206.61,35171.64,4487.72,-470547.25,DISPUTED
2024-03-07,NEOEN,REVISED,-24511.57,4765.14,-41089.18,-60835.61,PENDING
2025-04-10,STANWELL,REVISED,2880097.4,17208.7,9857.05,2907163.15,FINAL
2024-12-12,GLENCORE,FINAL,501138.58,-33391.49,-15930.15,451816.94,FINAL
2024-05-16,GLENCORE,FINAL,-1553229.81,71216.65,-2250.31,-1484263.47,PENDING
2025-10-23,ENGIE,REVISED,-426294.08,19446.07,15337.53,-391510.48,FINAL
2024-05-09,HYDRO_TASMANIA,PRELIMINARY,637387.4,1803.44,-11033.1,628157.74,PENDING
2024-02-22,HYDRO_TASMANIA,REVISED,1562771.38,34366.3,10574.16,1607711.84,FINAL
2024-10-24,ACCIONA,REVISED,-788294.47,5847.9,-10296.94,-792743.51,FINAL
2025-07-24,SNOWY_HYDRO,FINAL,679863.54,-82880.36,24365.41,621348.59,FINAL
2023-12-21,GLENCORE,REVISED,131035.22,3836.95,-13069.41,121802.76,FINAL
2024-09-12,ORIGIN,FINAL,403498.17,48708.34,-23864.28,428342.23,FINAL
2025-01-30,ENGIE,FINAL,398945.41,4809.16,6876.19,410630.76,FINAL
2023-12-21,ENERGY_AUSTRALIA,REVISED,58997.43,10743.28,-1002.91,68737.8,FINAL
2024-07-11,ORIGIN,FINAL,2960404.66,28979.94,20818.74,3010203.34,FINAL
2025-10-09,STANWELL,FINAL,57152.8,39974.93,8290.16,105417.89,FINAL
2024-12-19,ENGIE,FINAL,1824259.63,277219.24,-11642.54,2089836.33,FINAL
2025-10-02,ACCIONA,REVISED,1167369.57,-34078.4,26434.76,1159725.93,FINAL
2025-04-03,AGL_ENERGY,REVISED,934597.62,-57734.71,-273.06,876589.85,FINAL
2025-08-28,HYDRO_TASMANIA,REVISED,132364.31,25698.44,29225.99,187288.74,FINAL
2024-06-06,ACCIONA,FINAL,544404.75,12215.85,-21680.85,534939.75,FINAL
2024-07-11,ENERGY_AUSTRALIA,PRELIMINARY,-381041.79,-3530.23,-12134.32,-396706.34,PENDING
2024-08-29,WIND_LAB_NS,FINAL,224866.03,11616.43,-20793.15,215689.31,FINAL
2024-05-30,ERM_POWER,FINAL,1246837.72,34043.74,377.98,1281259.44,FINAL
2025-01-23,GLENCORE,FINAL,252380.6,24960.01,2433.81,279774.42,FINAL
2024-12-26,ACCIONA,FINAL,478046.97,10676.85,-10285.85,478437.97,FINAL
2023-12-28,NEOEN,FINAL,5853312.31,11695.88,-15256.03,5849752.16,FINAL
2024-09-19,NEOEN,REVISED,1730089.38,10548.89,-25820.2,1714818.07,PENDING
2024-10-24,WIND_LAB_NS,REVISED,4623129.03,155502.59,-5153.12,4773478.5,FINAL
2024-08-08,HYDRO_TASMANIA,PRELIMINARY,150183.42,20593.96,-4441.01,166336.37,PENDING
2024-01-04,ENERGY_AUSTRALIA,FINAL,-3457072.0,-5168.68,-10813.57,-3473054.25,FINAL
2024-02-22,AGL_ENERGY,FINAL,4759470.29,9143.16,4779.9,4773393.35,FINAL
2025-06-19,GLENCORE,FINAL,576466.5,18653.79,-16861.79,578258.5,DISPUTED
2024-10-03,NEOEN,FINAL,77975.93,49558.99,-11967.19,115567.73,FINAL
2024-06-06,HYDRO_TASMANIA,REVISED,104842.86,7685.72,-8816.82,103711.76,FINAL
2024-06-20,SNOWY_HYDRO,PRELIMINARY,601204.85,35444.89,23581.59,660231.33,PENDING
2025-07-03,SNOWY_HYDRO,PRELIMINARY,37635.45,49395.67,-5271.77,81759.35,PENDING
2025-03-20,ENERGY_AUSTRALIA,REVISED,250691.49,22720.32,-6192.63,267219.18,FINAL
2025-01-09,ENGIE,FINAL,-169887.64,13462.88,-13325.25,-169750.01,FINAL
2024-12-19,ACCIONA,FINAL,1116226.83,-148671.15,-1878.1,965677.58,FINAL
2024-09-05,DELTA_ELECTRICITY,FINAL,-280418.0,12486.31,9648.74,-258282.95,FINAL
2024-05-16,ENGIE,FINAL,218875.47,-19619.16,6010.64,205266.95,FINAL
2025-07-24,ENGIE,FINAL,604699.96,14805.54,15782.53,635288.03,DISPUTED
2023-12-07,HYDRO_TASMANIA,FINAL,-488107.2,16711.69,713.52,-470681.99,FINAL
2025-07-03,DELTA_ELECTRICITY,REVISED,3222084.42,8643.47,-16939.43,3213788.46,FINAL
2024-01-04,CS_ENERGY,FINAL,272206.19,66735.93,1585.63,340527.75,FINAL
2024-11-07,DELTA_ELECTRICITY,FINAL,471249.2,40533.37,2423.7,514206.27,FINAL
2024-01-04,WIND_LAB_NS,PRELIMINARY,-467056.9,81859.62,1281.62,-383915.66,PENDING
2025-01-09,SNOWY_HYDRO,FINAL,454575.57,-33159.07,13263.73,434680.23,FINAL
2025-02-13,GLENCORE,FINAL,451094.15,-9289.75,1527.84,443332.24,FINAL
2025-03-27,ENERGY_AUSTRALIA,FINAL,176963.57,-15219.77,-5482.58,156261.22,FINAL
2024-06-06,ERM_POWER,PRELIMINARY,-2007565.42,9777.39,-3560.73,-2001348.76,PENDING
2025-03-06,NEOEN,FINAL,1822340.73,61461.39,-6008.78,1877793.34,FINAL
2025-04-24,CS_ENERGY,REVISED,93039.76,-21456.31,-17087.69,54495.76,DISPUTED
2024-02-01,DELTA_ELECTRICITY,FINAL,-469599.47,54432.84,-4712.0,-419878.63,FINAL
2025-06-05,ENGIE,FINAL,258369.22,22657.47,679.55,281706.24,FINAL
2025-05-15,NEOEN,FINAL,-706434.53,-51518.91,-17969.26,-775922.7,FINAL
2024-09-12,GLENCORE,FINAL,129571.95,11526.08,23701.46,164799.49,FINAL
2025-05-08,ACCIONA,REVISED,-131055.92,-34129.73,-16145.35,-181331.0,FINAL
2025-02-13,HYDRO_TASMANIA,FINAL,1782406.69,-82807.11,-5096.79,1694502.79,FINAL
2025-07-31,ENERGY_AUSTRALIA,FINAL,1103037.12,75816.06,30916.28,1209769.46,FINAL
2025-03-06,ORIGIN,FINAL,565867.39,9495.48,-25957.22,549405.65,FINAL
2024-10-17,DELTA_ELECTRICITY,REVISED,109636.68,14066.92,1576.18,125279.78,FINAL
2025-06-12,ACCIONA,FINAL,-127344.31,99937.03,-4537.49,-31944.77,FINAL
2025-06-19,GLENCORE,REVISED,-111212.2,-13107.85,3847.42,-120472.63,FINAL
2025-06-19,ACCIONA,PRELIMINARY,358311.31,6318.62,6255.98,370885.91,PENDING
2025-10-09,AGL_ENERGY,PRELIMINARY,147933.64,-12637.64,-13937.51,121358.49,PENDING
2024-11-14,DELTA_ELECTRICITY,REVISED,1559672.62,1136.57,10780.25,1571589.44,FINAL
2025-02-13,DELTA_ELECTRICITY,FINAL,2050023.28,24727.94,-12909.57,2061841.65,FINAL
2024-11-07,ENERGY_AUSTRALIA,FINAL,355793.78,145565.39,-11383.72,489975.45,FINAL
2025-06-19,GLENCORE,FINAL,-1953491.43,26614.66,15.83,-1926860.94,FINAL
2023-12-07,DELTA_ELECTRICITY,FINAL,519894.12,5714.89,-25332.54,500276.47,FINAL
2024-04-25,DELTA_ELECTRICITY,FINAL,3753990.11,20531.29,14715.4,3789236.8,FINAL
2025-03-13,AGL_ENERGY,FINAL,454999.71,6777.62,12300.5,474077.83,FINAL
2024-10-24,GLENCORE,PRELIMINARY,-11930778.45,11549.23,-3494.42,-11922723.64,PENDING
2024-10-31,ENERGY_AUSTRALIA,PRELIMINARY,257923.19,-26655.78,49.11,231316.52,PENDING
2023-11-30,SNOWY_HYDRO,FINAL,188581.01,-9341.03,6586.19,185826.17,DISPUTED
2024-11-21,SNOWY_HYDRO,FINAL,-76958.65,7534.96,-5081.67,-74505.36,FINAL
2024-08-29,WIND_LAB_NS,FINAL,1038411.16,-14341.31,2982.78,1027052.63,FINAL
2024-09-05,ACCIONA,FINAL,-711167.95,24258.84,-11040.67,-697949.78,FINAL
2023-11-23,HYDRO_TASMANIA,FINAL,-247031.37,-4343.73,15001.37,-236373.73,FINAL
2025-06-26,STANWELL,REVISED,327755.17,9936.43,10611.69,348303.29,FINAL
2024-03-28,SNOWY_HYDRO,FINAL,276288.93,-7549.63,-5527.91,263211.39,FINAL
2024-07-11,ENGIE,FINAL,-119150.23,6532.04,5981.0,-106637.19,FINAL
2024-10-17,DELTA_ELECTRICITY,FINAL,1201016.46,34673.05,-16441.24,1219248.27,FINAL
2024-08-22,ENERGY_AUSTRALIA,FINAL,-1028632.14,37816.85,6916.72,-983898.57,FINAL
2024-09-26,SNOWY_HYDRO,FINAL,1423204.9,17880.42,7337.54,1448422.86,FINAL
2025-11-13,ERM_POWER,FINAL,-1078584.68,44942.95,10924.54,-1022717.19,FINAL
2024-06-20,GLENCORE,FINAL,-66355.98,-27412.52,-765.56,-94534.06,FINAL
2025-08-14,ENGIE,FINAL,740593.88,19862.82,8893.12,769349.82,FINAL
2025-08-14,NEOEN,FINAL,-2688329.55,-5152.41,-9603.61,-2703085.57,FINAL
2023-12-14,NEOEN,FINAL,1365497.58,16984.7,-7681.94,1374800.34,FINAL
2024-01-18,ENERGY_AUSTRALIA,REVISED,352628.81,8290.29,43552.83,404471.93,DISPUTED
2025-07-03,ENERGY_AUSTRALIA,PRELIMINARY,4926402.15,55531.65,4605.17,4986538.97,PENDING
2024-04-25,ENGIE,FINAL,1112100.42,22028.86,25533.49,1159662.77,FINAL
2024-03-07,AGL_ENERGY,REVISED,513429.2,14064.88,12243.09,539737.17,FINAL
2025-04-03,ENGIE,FINAL,61177.15,27623.56,-3513.47,85287.24,FINAL
2025-04-24,ENGIE,FINAL,355521.25,-16164.36,-26370.52,312986.37,FINAL
2025-09-18,ACCIONA,FINAL,-131124.53,13152.79,-2973.87,-120945.61,FINAL
2025-01-02,HYDRO_TASMANIA,FINAL,784694.56,17365.43,2941.56,805001.55,FINAL
2024-12-05,AGL_ENERGY,REVISED,917572.31,-148691.92,5974.01,774854.4,PENDING
2025-11-06,CS_ENERGY,FINAL,-1883277.58,67160.04,-6046.43,-1822163.97,FINAL
2025-05-08,ACCIONA,FINAL,-246720.05,48192.98,-8022.53,-206549.6,FINAL
2024-03-07,NEOEN,PRELIMINARY,235744.25,14370.45,12955.76,263070.46,PENDING
2024-08-01,CS_ENERGY,PRELIMINARY,-271074.18,4695.07,1998.33,-264380.78,PENDING
2024-11-07,ENERGY_AUSTRALIA,FINAL,-6531473.75,8653.52,15424.14,-6507396.09,FINAL
2024-08-15,HYDRO_TASMANIA,FINAL,891757.64,3697.07,-6286.59,889168.12,FINAL
2025-08-28,ENGIE,PRELIMINARY,79694.34,20669.01,-29496.85,70866.5,PENDING
2024-05-16,ACCIONA,FINAL,203326.26,-17305.96,-14458.48,171561.82,FINAL
2025-03-13,ERM_POWER,PRELIMINARY,116532.72,13212.78,516.8,130262.3,PENDING
2025-06-12,STANWELL,FINAL,1252732.66,-34411.89,24638.35,1242959.12,FINAL
2025-07-03,HYDRO_TASMANIA,PRELIMINARY,-713302.8,12908.32,-4886.73,-705281.21,PENDING
2025-05-22,HYDRO_TASMANIA,FINAL,441064.49,-30604.61,11030.7,421490.58,FINAL
2024-06-06,AGL_ENERGY,FINAL,365825.27,19885.89,16741.12,402452.28,FINAL
2025-10-30,ORIGIN,FINAL,120478.87,56354.73,-12838.74,163994.86,FINAL
2025-04-03,GLENCORE,FINAL,-96236.73,57524.11,-14994.85,-53707.47,FINAL
2024-10-10,NEOEN,FINAL,-708120.36,20773.36,13341.09,-674005.91,FINAL
2024-10-03,SNOWY_HYDRO,FINAL,1642191.52,125116.11,-4806.8,1762500.83,FINAL
2025-02-27,NEOEN,FINAL,-499695.49,-35044.17,-13311.57,-548051.23,FINAL
2025-06-19,HYDRO_TASMANIA,FINAL,-443995.35,41537.05,-19018.39,-421476.69,FINAL
2025-10-23,CS_ENERGY,FINAL,11906883.06,-58950.87,32435.94,11880368.13,FINAL
2024-01-18,DELTA_ELECTRICITY,REVISED,207913.54,11577.45,13205.67,232696.66,FINAL
2024-02-08,AGL_ENERGY,PRELIMINARY,92153.33,-8734.09,15726.19,99145.43,PENDING
2025-06-12,ENERGY_AUSTRALIA,PRELIMINARY,-241366.36,21497.02,-23254.2,-243123.54,PENDING
2024-01-04,SNOWY_HYDRO,FINAL,-2926341.72,-7414.9,-29771.83,-2963528.45,DISPUTED
2024-03-21,HYDRO_TASMANIA,REVISED,1934973.82,139072.76,1376.03,2075422.61,FINAL
2025-02-20,ERM_POWER,REVISED,482247.0,-12707.74,-1413.74,468125.52,FINAL
2024-04-25,WIND_LAB_NS,REVISED,-1087178.69,17285.68,-3910.9,-1073803.91,FINAL
2024-07-25,ACCIONA,FINAL,-484692.92,21420.72,14299.27,-448972.93,FINAL
2024-12-12,HYDRO_TASMANIA,FINAL,796419.05,-8077.47,-3125.02,785216.56,FINAL
2024-08-22,ORIGIN,FINAL,-830579.89,1331.78,3878.59,-825369.52,FINAL
2024-01-18,WIND_LAB_NS,FINAL,420324.41,10809.95,-6391.9,424742.46,FINAL
2025-07-24,ACCIONA,FINAL,-1660475.68,12816.74,-4014.2,-1651673.14,FINAL
2024-06-13,DELTA_ELECTRICITY,REVISED,3415315.4,145033.68,-8647.69,3551701.39,PENDING
2024-09-26,NEOEN,REVISED,577840.65,207015.73,24705.38,809561.76,FINAL
2024-09-26,ACCIONA,PRELIMINARY,426527.15,82693.75,4288.76,513509.66,PENDING
2025-08-28,HYDRO_TASMANIA,FINAL,818706.71,130583.36,-10933.62,938356.45,FINAL
2025-08-14,WIND_LAB_NS,FINAL,101469.43,-16545.15,14552.32,99476.6,FINAL
2024-02-22,NEOEN,PRELIMINARY,126051.4,13633.03,18552.72,158237.15,PENDING
2023-11-16,AGL_ENERGY,REVISED,275204.2,7604.58,-30545.13,252263.65,FINAL
2024-08-22,CS_ENERGY,PRELIMINARY,1819440.3,5082.67,-12897.71,1811625.26,PENDING
2025-09-25,SNOWY_HYDRO,FINAL,-600546.15,-6711.89,3024.67,-604233.37,FINAL
2025-10-30,ACCIONA,PRELIMINARY,576596.5,26584.76,-17307.0,585874.26,PENDING
2024-10-31,WIND_LAB_NS,REVISED,-230730.15,48280.8,-7584.98,-190034.33,FINAL
2024-10-10,GLENCORE,FINAL,124521.7,21282.74,-4222.25,141582.19,FINAL
2025-07-24,HYDRO_TASMANIA,PRELIMINARY,165221.67,10872.32,13018.6,189112.59,PENDING
2024-03-28,NEOEN,REVISED,677893.76,6974.22,-12738.35,672129.63,PENDING
2024-10-17,CS_ENERGY,FINAL,-247176.03,-30555.68,9917.02,-267814.69,FINAL
2025-08-21,SNOWY_HYDRO,REVISED,169399.21,-133738.96,-34964.32,695.93,PENDING
2024-05-02,ENGIE,FINAL,161037.83,2703.67,-3275.18,160466.32,FINAL
2025-02-06,AGL_ENERGY,FINAL,-305588.88,25595.28,-14911.42,-294905.02,FINAL
2025-08-21,ENGIE,FINAL,-473087.06,6825.52,15162.33,-451099.21,FINAL
2023-12-21,DELTA_ELECTRICITY,FINAL,355242.65,53165.74,23894.84,432303.23,FINAL
2025-08-21,GLENCORE,FINAL,-470520.1,27526.3,-26853.44,-469847.24,FINAL
2024-01-25,ORIGIN,REVISED,-336016.79,-25511.45,-14036.43,-375564.67,FINAL
2024-10-17,ORIGIN,PRELIMINARY,1672718.27,15141.53,-12491.92,1675367.88,PENDING
2025-03-27,AGL_ENERGY,REVISED,-2122003.25,-9563.7,5965.13,-2125601.82,PENDING
2024-02-29,ORIGIN,FINAL,1023308.74,17406.42,7091.75,1047806.91,DISPUTED
2025-10-30,DELTA_ELECTRICITY,FINAL,93643.61,14000.07,5660.05,113303.73,FINAL
2025-05-01,ERM_POWER,FINAL,953497.95,5526.58,-18153.17,940871.36,FINAL
2024-07-18,CS_ENERGY,FINAL,2889434.21,29163.73,-13181.42,2905416.52,FINAL
2025-07-10,DELTA_ELECTRICITY,FINAL,-214119.52,-89749.84,-1066.18,-304935.54,FINAL
2025-09-18,ORIGIN,REVISED,-1948636.22,6937.49,32285.96,-1909412.77,FINAL
2025-04-10,CS_ENERGY,FINAL,-11841792.74,19033.19,9829.47,-11812930.08,DISPUTED
2024-03-07,GLENCORE,FINAL,613014.52,28149.23,-3401.8,637761.95,FINAL
2024-10-03,SNOWY_HYDRO,FINAL,1504956.06,15555.83,4891.1,1525402.99,FINAL
2025-03-06,CS_ENERGY,PRELIMINARY,990422.4,103100.09,4376.69,1097899.18,PENDING
2023-11-16,SNOWY_HYDRO,FINAL,28743.01,7886.24,18871.28,55500.53,FINAL
2025-11-13,AGL_ENERGY,REVISED,266244.67,16552.2,-3111.49,279685.38,FINAL
2023-11-23,STANWELL,PRELIMINARY,-389843.82,11291.89,33104.34,-345447.59,PENDING
2025-06-12,DELTA_ELECTRICITY,FINAL,-359334.47,24836.44,-10718.86,-345216.89,PENDING
2024-05-23,ENGIE,PRELIMINARY,772276.01,-8703.08,13082.04,776654.97,PENDING
2024-01-04,WIND_LAB_NS,FINAL,449364.89,-32962.32,-287.8,416114.77,FINAL
2023-11-30,ENGIE,REVISED,487996.5,-64457.85,-22576.37,400962.28,FINAL
2024-12-26,WIND_LAB_NS,REVISED,308522.25,150954.38,4403.16,463879.79,FINAL
2024-02-22,ENGIE,FINAL,127090.51,10404.19,3823.89,141318.59,FINAL
2025-05-22,HYDRO_TASMANIA,FINAL,404364.72,48526.97,-11455.3,441436.39,FINAL
2025-11-13,ERM_POWER,FINAL,1498572.04,13025.01,-20019.88,1491577.17,FINAL
2025-05-29,ENGIE,FINAL,118463.45,40066.06,26143.13,184672.64,FINAL
2025-05-08,CS_ENERGY,FINAL,-255968.01,-25226.88,15335.04,-265859.85,FINAL
2024-02-29,ACCIONA,PRELIMINARY,272880.37,12657.51,11367.35,296905.23,PENDING
2024-09-19,DELTA_ELECTRICITY,REVISED,997982.74,46840.91,2732.09,1047555.74,FINAL
2024-10-31,NEOEN,REVISED,776169.31,19386.62,-8135.03,787420.9,PENDING
2025-01-30,ENGIE,FINAL,423147.01,21200.5,5581.2,449928.71,FINAL
2024-06-13,WIND_LAB_NS,FINAL,-480028.64,-14997.57,-3942.11,-498968.32,FINAL
2024-11-28,AGL_ENERGY,FINAL,3043515.12,-9099.05,13153.14,3047569.21,FINAL
2024-11-07,AGL_ENERGY,PRELIMINARY,2734090.59,26984.54,5076.1,2766151.23,PENDING
2024-10-03,ACCIONA,REVISED,654910.58,-30571.36,16446.0,640785.22,FINAL
2024-01-11,ERM_POWER,REVISED,-110350.54,41125.7,-4964.3,-74189.14,FINAL
2025-11-06,ORIGIN,REVISED,143150.55,32475.83,-728.8,174897.58,FINAL
2024-10-10,ENERGY_AUSTRALIA,REVISED,5059216.15,-24297.58,3281.93,5038200.5,FINAL
2024-08-29,CS_ENERGY,FINAL,685663.81,33228.4,-9567.13,709325.08,DISPUTED
2025-08-28,HYDRO_TASMANIA,REVISED,91330.15,21167.9,-6682.16,105815.89,FINAL
2025-01-02,ENGIE,PRELIMINARY,-135938.77,58224.99,-803.8,-78517.58,PENDING
2025-04-10,HYDRO_TASMANIA,PRELIMINARY,195455.66,15724.93,13007.08,224187.67,PENDING
2024-12-05,HYDRO_TASMANIA,FINAL,-165242.19,21295.25,20783.28,-123163.66,FINAL
2024-11-28,STANWELL,REVISED,24967855.18,-4976.49,655.42,24963534.11,PENDING
2024-08-29,HYDRO_TASMANIA,FINAL,398065.06,27077.38,5466.04,430608.48,FINAL
2023-11-16,STANWELL,FINAL,5840408.64,-5660.68,11989.77,5846737.73,DISPUTED
2025-09-11,HYDRO_TASMANIA,FINAL,267339.43,9673.0,17649.98,294662.41,FINAL
2024-06-20,GLENCORE,PRELIMINARY,283309.82,-122143.19,19726.46,180893.09,PENDING
2024-04-04,AGL_ENERGY,FINAL,57721.17,-38650.68,7498.91,26569.4,FINAL
2025-11-13,ENERGY_AUSTRALIA,FINAL,259764.24,59054.32,-5311.44,313507.12,FINAL
2025-07-17,ENERGY_AUSTRALIA,REVISED,-8913.53,55203.83,16829.61,63119.91,FINAL
2023-12-21,ENERGY_AUSTRALIA,FINAL,-1739077.93,29734.94,-28621.19,-1737964.18,FINAL
2024-04-04,GLENCORE,REVISED,-399084.25,7379.91,7156.59,-384547.75,FINAL
2025-04-24,DELTA_ELECTRICITY,REVISED,224869.83,42774.16,-7211.33,260432.66,FINAL
2025-05-22,HYDRO_TASMANIA,REVISED,-90996.96,14598.61,11454.33,-64944.02,FINAL
2023-12-21,ENERGY_AUSTRALIA,REVISED,41195.36,19230.89,-150.35,60275.9,FINAL
2023-11-16,ORIGIN,FINAL,64093.98,-10312.4,-21756.22,32025.36,FINAL
2024-08-01,ENERGY_AUSTRALIA,REVISED,72475.77,9988.71,-12005.87,70458.61,FINAL
2025-02-27,ENERGY_AUSTRALIA,FINAL,141046.84,30338.09,3602.17,174987.1,FINAL
2024-08-29,GLENCORE,PRELIMINARY,-61849.24,19659.56,4974.54,-37215.14,PENDING
2024-03-07,NEOEN,PRELIMINARY,-161829.59,4068.84,-5753.85,-163514.6,PENDING
2024-12-05,ENGIE,FINAL,842713.76,-16824.17,-6274.33,819615.26,FINAL
2024-05-30,ORIGIN,PRELIMINARY,-214274.3,15131.21,5460.1,-193682.99,PENDING
2025-10-16,CS_ENERGY,FINAL,3002565.07,-5304.17,-133.98,2997126.92,FINAL
2025-09-25,NEOEN,FINAL,-50298.67,-4436.79,17061.61,-37673.85,FINAL
2025-01-30,ERM_POWER,FINAL,357538.33,42122.9,4299.99,403961.22,FINAL
2025-08-21,ACCIONA,FINAL,110993.23,41621.8,11002.31,163617.34,FINAL
2024-08-08,HYDRO_TASMANIA,FINAL,-126588.43,96266.49,30208.36,-113.58,PENDING
2025-03-27,STANWELL,PRELIMINARY,205208.21,5806.81,-15493.37,195521.65,PENDING
2024-09-05,ENGIE,REVISED,312269.72,15677.57,-3745.59,324201.7,PENDING
2024-07-25,ORIGIN,FINAL,213055.33,89757.59,-2720.16,300092.76,FINAL
2024-08-08,HYDRO_TASMANIA,PRELIMINARY,-397503.97,296341.4,22762.91,-78399.66,PENDING
2023-11-30,DELTA_ELECTRICITY,FINAL,2467898.61,9243.38,12399.52,2489541.51,FINAL
2024-11-28,ERM_POWER,FINAL,2205167.43,5699.97,-11527.13,2199340.27,FINAL
2024-12-05,GLENCORE,REVISED,-60076.57,-5236.91,3238.72,-62074.76,FINAL
2024-05-02,WIND_LAB_NS,FINAL,-472935.56,22379.07,-28283.9,-478840.39,FINAL
2025-10-23,CS_ENERGY,FINAL,-564444.15,19248.62,-1916.23,-547111.76,FINAL
2024-07-11,STANWELL,FINAL,285606.56,-2756.75,-2954.83,279894.98,FINAL
2024-05-23,ENGIE,FINAL,7245476.05,43976.53,-3351.97,7286100.61,FINAL
2025-03-13,HYDRO_TASMANIA,REVISED,-593510.09,38990.42,10684.16,-543835.51,FINAL
2025-08-07,ACCIONA,FINAL,2169883.23,15771.68,-11093.24,2174561.67,FINAL
2023-11-23,GLENCORE,REVISED,-207542.3,-203793.58,17062.53,-394273.35,PENDING
2024-11-21,WIND_LAB_NS,FINAL,223951.7,-2081.14,10400.6,232271.16,FINAL
2024-05-30,ENGIE,REVISED,2378524.25,-9372.43,-2364.13,2366787.69,PENDING
2025-08-14,ACCIONA,FINAL,-328645.67,12769.7,-8389.74,-324265.71,FINAL
2024-02-15,STANWELL,FINAL,3391464.41,50738.76,-546.37,3441656.8,FINAL
2023-11-30,AGL_ENERGY,FINAL,1059113.79,25839.66,-12038.12,1072915.33,FINAL
2025-07-31,ENERGY_AUSTRALIA,PRELIMINARY,2050554.8,4003.53,2448.88,2057007.21,PENDING
2025-01-30,CS_ENERGY,REVISED,-5439729.13,-29688.7,-23953.66,-5493371.49,FINAL
2025-08-14,ERM_POWER,FINAL,75100.36,77525.24,-11684.64,140940.96,FINAL
2025-10-09,ACCIONA,FINAL,-784970.66,-10478.15,-8589.73,-804038.54,FINAL
2025-02-27,DELTA_ELECTRICITY,FINAL,759980.82,37699.13,245.31,797925.26,FINAL
2024-08-01,ORIGIN,REVISED,241028.69,22797.23,1752.8,265578.72,DISPUTED
2024-05-09,HYDRO_TASMANIA,FINAL,2227399.33,20310.14,-24168.1,2223541.37,FINAL
2025-01-02,HYDRO_TASMANIA,FINAL,320916.07,2820.03,-9058.49,314677.61,FINAL
2025-09-18,DELTA_ELECTRICITY,REVISED,159355.28,3378.07,6740.05,169473.4,FINAL
2025-04-03,WIND_LAB_NS,FINAL,324568.21,-15729.65,-8907.35,299931.21,DISPUTED
2025-05-22,GLENCORE,FINAL,1415632.01,13455.46,6816.22,1435903.69,FINAL
2023-12-28,GLENCORE,FINAL,4144084.17,-81808.84,4724.88,4067000.21,FINAL
2024-10-24,NEOEN,PRELIMINARY,1576660.59,15727.57,7838.74,1600226.9,PENDING
2024-09-26,STANWELL,FINAL,345514.92,46886.91,-41.77,392360.06,FINAL
2024-09-05,ERM_POWER,FINAL,544350.3,4180.12,4049.7,552580.12,FINAL
2025-09-18,WIND_LAB_NS,REVISED,448955.63,30532.42,-17928.19,461559.86,DISPUTED
2024-04-18,CS_ENERGY,FINAL,818542.52,37117.62,-1672.07,853988.07,FINAL
2025-02-27,ERM_POWER,REVISED,-6843654.15,77277.38,-16231.94,-6782608.71,FINAL
2024-03-07,CS_ENERGY,FINAL,231913.4,6287.39,17998.76,256199.55,FINAL
2024-06-27,STANWELL,PRELIMINARY,384223.23,3153.99,-4260.59,383116.63,PENDING
2024-08-08,CS_ENERGY,PRELIMINARY,347918.13,32072.06,-15969.22,364020.97,PENDING
2024-08-01,AGL_ENERGY,PRELIMINARY,-3928660.43,-23711.44,-7947.59,-3960319.46,PENDING
2024-05-09,ACCIONA,FINAL,2400274.66,51900.37,-3074.65,2449100.38,PENDING
2025-10-09,SNOWY_HYDRO,FINAL,-2005592.9,6495.11,3437.52,-1995660.27,FINAL
2024-12-19,AGL_ENERGY,FINAL,480447.5,20502.22,-17854.9,483094.82,FINAL
2024-08-08,WIND_LAB_NS,FINAL,212329.52,-38519.13,-17488.76,156321.63,FINAL
