constraint_id,constraint_type,activated_datetime,deactivated_datetime,reason,rhs_value,region_affected,interconnector
V^HYTS_MLTS_N,voltage,2025-10-17 12:25:26,2025-10-17 16:17:00,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1775.8,NSW1,False
Q_PQ_NIL_RADL_1,stability,2025-09-13 18:02:05,2025-09-13 22:46:34,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,958.7,QLD1,False
F_I+LREG+ML_RREG_0600,voltage,2025-10-08 13:25:55,2025-10-08 17:05:01,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,379.3,QLD1,False
V_XEMPT_MAIN+ML,stability,2025-01-07 19:24:52,2025-01-07 22:24:15,Radial supply security constraint — South Australia import capacity limit reached.,1116.4,SA1,False
Q_PQ_NIL_RADL_1,voltage,2025-02-28 22:08:55,2025-02-28 23:49:08,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1701.1,TAS1,False
S^NIL_PEAK_1530_3,voltage,2025-09-06 02:14:49,2025-09-06 04:13:05,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1025.0,SA1,False
V^HYTS_MLTS_N,thermal,2025-01-05 08:12:40,2025-01-05 13:38:53,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1321.2,NSW1,False
S_RADIAL_SA_1,thermal,2025-06-30 21:49:13,2025-07-01 01:49:08,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,417.2,NSW1,True
NSW_VIC_LOCAT_1,voltage,2025-04-01 11:22:39,2025-04-01 11:32:44,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1684.0,VIC1,False
V^GUNNQ_MUGG_E,voltage,2025-07-06 06:35:40,2025-07-06 14:22:08,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,884.4,SA1,False
S^NIL_PEAK_1530_3,stability,2025-03-31 11:59:44,2025-03-31 17:51:26,Overload protection — Moorabool substation transformer loading above summer rating.,361.0,VIC1,False
V^HYTS_MLTS_N,thermal,2024-12-12 09:23:34,2024-12-12 12:23:26,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,748.2,VIC1,False
V_XEMPT_MAIN+ML,thermal,2025-06-18 08:26:27,2025-06-18 22:30:41,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,270.7,VIC1,False
V^HYTS_MLTS_N,stability,2025-09-07 21:19:24,2025-09-07 23:54:34,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,119.3,VIC1,False
V^HYTS_MLTS_N,thermal,2025-04-24 12:18:22,2025-04-24 16:52:12,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,459.0,TAS1,False
V^HYTS_MLTS_N,thermal,2025-04-13 14:24:00,2025-04-13 19:08:19,Basslink thermal constraint — sustained high power flow activating wet-end protection.,1762.5,TAS1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-09-12 06:27:23,2025-09-12 08:57:40,Basslink thermal constraint — sustained high power flow activating wet-end protection.,1092.2,NSW1,True
Q_PQ_NIL_RADL_1,stability,2025-06-01 23:02:57,2025-06-02 00:52:08,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1080.5,TAS1,False
V_XEMPT_MAIN+ML,stability,2025-11-07 18:42:02,2025-11-08 00:43:56,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,971.7,VIC1,False
F_MAIN+ML_MR_0600,voltage,2025-08-10 00:24:45,2025-08-10 03:04:56,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,698.8,VIC1,False
V^MLTS1-HYTS_E,voltage,2025-03-23 10:10:16,2025-03-23 12:11:14,Overload protection — Moorabool substation transformer loading above summer rating.,1145.4,QLD1,False
V^HYTS_MLTS_N,voltage,2025-11-21 12:30:14,2025-11-21 16:01:30,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,867.7,SA1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-09-24 03:12:58,2025-09-24 04:07:53,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1191.1,QLD1,False
S^NIL_PEAK_1530_3,voltage,2025-03-14 13:18:45,2025-03-14 23:24:01,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1317.9,TAS1,False
N^^Q_NIL_1,stability,2024-11-25 18:44:37,2024-11-26 02:28:02,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,111.2,TAS1,False
V^MLTS1-HYTS_E,voltage,2025-09-24 03:10:57,2025-09-24 12:37:59,Frequency control constraint — insufficient inertia from synchronous generation online.,109.1,VIC1,False
S_RADIAL_SA_1,thermal,2025-08-20 06:35:04,2025-08-20 16:21:55,Overload protection — Moorabool substation transformer loading above summer rating.,989.5,VIC1,True
V_XEMPT_MAIN+ML,thermal,2025-08-13 01:00:42,2025-08-13 05:32:49,Overload protection — Moorabool substation transformer loading above summer rating.,761.4,SA1,False
F_MAIN+ML_MR_0600,thermal,2025-04-20 02:09:33,2025-04-20 06:58:48,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,498.0,VIC1,False
S^NIL_PEAK_1530_3,thermal,2025-09-15 22:04:44,2025-09-16 18:54:27,Frequency control constraint — insufficient inertia from synchronous generation online.,750.7,QLD1,False
N_X_HYTS_GUN_1,thermal,2025-01-23 18:32:57,2025-01-23 20:49:21,Frequency control constraint — insufficient inertia from synchronous generation online.,1097.3,TAS1,True
N^^Q_NIL_1,voltage,2025-05-17 13:27:49,2025-05-17 17:34:43,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,898.7,VIC1,False
V_XEMPT_MAIN+ML,voltage,2024-12-31 03:06:54,2024-12-31 06:59:44,Radial supply security constraint — South Australia import capacity limit reached.,968.4,NSW1,False
V^HYTS_MLTS_N,voltage,2025-03-09 13:43:21,2025-03-09 14:24:04,Radial supply security constraint — South Australia import capacity limit reached.,183.3,TAS1,False
V_XEMPT_MAIN+ML,stability,2025-10-22 12:32:18,2025-10-23 04:03:25,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1433.5,TAS1,False
N^^Q_NIL_1,stability,2025-01-04 08:57:51,2025-01-04 11:24:51,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1609.2,SA1,False
S^NIL_PEAK_1530_3,stability,2025-05-05 17:39:24,2025-05-05 18:10:20,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,673.1,TAS1,False
F_I+LREG+ML_RREG_0600,thermal,2025-07-26 20:00:50,2025-07-26 23:56:05,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1186.2,QLD1,False
V^MLTS1-HYTS_E,voltage,2025-04-13 01:00:26,2025-04-13 02:50:45,Radial supply security constraint — South Australia import capacity limit reached.,913.2,QLD1,False
Q_PQ_NIL_RADL_1,voltage,2025-08-17 13:28:10,2025-08-17 13:54:58,Basslink thermal constraint — sustained high power flow activating wet-end protection.,912.8,SA1,False
NSW_VIC_LOCAT_1,stability,2025-03-11 05:22:35,2025-03-11 06:03:54,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,524.9,SA1,False
N^^Q_NIL_1,stability,2025-03-04 20:49:03,2025-03-05 01:25:28,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,225.5,NSW1,False
NSW_VIC_LOCAT_1,stability,2025-04-06 17:20:46,2025-04-06 18:49:12,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,333.3,TAS1,False
N^^Q_NIL_1,stability,2025-04-07 20:53:03,2025-04-08 00:19:04,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1260.1,SA1,False
N_X_HYTS_GUN_1,thermal,2025-03-25 15:24:38,2025-03-26 03:13:00,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1111.9,NSW1,True
NSW_VIC_LOCAT_1,stability,2025-04-25 09:04:24,2025-04-25 11:54:45,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,916.6,QLD1,False
Q_PQ_NIL_RADL_1,stability,2025-03-21 00:24:28,2025-03-21 02:19:20,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1660.3,QLD1,False
Q_PQ_NIL_RADL_1,voltage,2024-12-23 00:36:35,2024-12-23 02:34:44,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1358.7,QLD1,False
V^MLTS1-HYTS_E,thermal,2025-02-06 19:21:58,2025-02-06 23:48:32,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,960.5,SA1,True
F_MAIN+ML_MR_0600,voltage,2025-06-22 23:53:41,2025-06-23 12:04:05,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1275.0,VIC1,False
Q_PQ_NIL_RADL_1,voltage,2025-01-15 23:54:53,2025-01-16 00:25:42,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,569.6,NSW1,False
V^HYTS_MLTS_N,stability,2025-10-10 00:15:15,2025-10-10 08:09:53,Overload protection — Moorabool substation transformer loading above summer rating.,447.2,TAS1,False
F_MAIN+ML_MR_0600,stability,2025-02-21 20:32:32,2025-02-21 21:01:33,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,504.8,SA1,False
F_MAIN+ML_MR_0600,thermal,2025-10-22 04:36:57,2025-10-22 06:18:55,Radial supply security constraint — South Australia import capacity limit reached.,1108.2,TAS1,False
F_MAIN+ML_MR_0600,thermal,2025-06-20 02:59:50,2025-06-20 05:43:57,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1389.2,NSW1,True
Q^^Q_NIL_PEAK_1530,stability,2025-08-20 10:42:18,2025-08-20 19:10:31,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,605.8,TAS1,False
N_X_HYTS_GUN_1,stability,2025-10-29 09:07:46,2025-10-29 23:05:31,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,56.5,NSW1,False
Q_PQ_NIL_RADL_1,voltage,2025-06-24 10:28:45,2025-06-24 11:49:48,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,405.3,SA1,False
V^MLTS1-HYTS_E,voltage,2025-08-12 01:43:53,2025-08-12 03:56:15,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,590.0,SA1,False
N^^Q_NIL_1,stability,2025-05-24 03:41:37,2025-05-24 10:41:30,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1120.0,VIC1,False
Q_PQ_NIL_RADL_1,voltage,2025-07-14 11:07:50,2025-07-14 17:16:50,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1336.2,NSW1,False
N_X_HYTS_GUN_1,thermal,2025-01-16 04:58:56,2025-01-16 08:01:59,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1521.3,SA1,True
Q^^Q_NIL_PEAK_1530,stability,2025-09-15 14:02:03,2025-09-15 15:15:59,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1585.1,QLD1,False
N^^Q_NIL_1,voltage,2025-05-12 05:39:36,2025-05-12 08:00:18,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,493.5,SA1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-03-27 04:49:42,2025-03-27 06:46:47,Basslink thermal constraint — sustained high power flow activating wet-end protection.,1203.4,QLD1,False
N^^Q_NIL_1,stability,2025-08-06 04:27:21,2025-08-06 05:52:39,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1520.9,TAS1,False
NSW_VIC_LOCAT_1,voltage,2025-07-15 04:01:32,2025-07-15 10:03:40,Basslink thermal constraint — sustained high power flow activating wet-end protection.,145.4,QLD1,False
S_RADIAL_SA_1,thermal,2025-05-18 13:55:16,2025-05-18 16:58:11,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,217.6,QLD1,False
F_MAIN+ML_MR_0600,stability,2024-11-27 05:15:16,2024-11-27 05:22:54,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,803.3,VIC1,False
V^GUNNQ_MUGG_E,thermal,2024-12-20 06:40:12,2024-12-20 08:12:15,Overload protection — Moorabool substation transformer loading above summer rating.,552.5,NSW1,True
Q^^Q_NIL_PEAK_1530,stability,2025-01-31 23:28:59,2025-02-01 00:04:13,Basslink thermal constraint — sustained high power flow activating wet-end protection.,879.0,SA1,False
V_XEMPT_MAIN+ML,voltage,2025-02-04 12:07:49,2025-02-05 10:51:00,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,278.2,VIC1,False
NSW_VIC_LOCAT_1,voltage,2025-06-28 23:53:06,2025-06-29 04:45:17,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1156.8,QLD1,False
V_XEMPT_MAIN+ML,voltage,2025-07-24 23:57:49,2025-07-25 04:08:00,Basslink thermal constraint — sustained high power flow activating wet-end protection.,114.6,QLD1,False
F_I+LREG+ML_RREG_0600,voltage,2025-10-12 11:22:33,2025-10-12 12:07:24,Radial supply security constraint — South Australia import capacity limit reached.,150.2,NSW1,False
N^^Q_NIL_1,stability,2025-02-11 22:46:21,2025-02-12 01:41:43,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,760.2,QLD1,False
NSW_VIC_LOCAT_1,stability,2025-09-26 18:35:26,2025-09-27 05:48:52,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1104.8,TAS1,False
V_XEMPT_MAIN+ML,stability,2025-08-19 07:10:24,2025-08-19 10:50:16,Basslink thermal constraint — sustained high power flow activating wet-end protection.,509.3,TAS1,False
N_X_HYTS_GUN_1,stability,2025-06-05 11:10:43,2025-06-05 15:54:31,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,876.1,NSW1,False
S^NIL_PEAK_1530_3,thermal,2025-10-25 01:17:29,2025-10-25 07:41:02,Overload protection — Moorabool substation transformer loading above summer rating.,1065.3,TAS1,False
V^GUNNQ_MUGG_E,thermal,2025-02-06 11:01:50,2025-02-07 01:08:42,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,81.8,QLD1,True
Q^^Q_NIL_PEAK_1530,voltage,2025-06-28 20:08:40,2025-06-28 21:12:47,Overload protection — Moorabool substation transformer loading above summer rating.,398.1,VIC1,False
S^NIL_PEAK_1530_3,stability,2025-10-11 12:37:55,2025-10-11 16:18:35,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1248.4,QLD1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-05-16 18:10:09,2025-05-16 23:29:59,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,1362.5,SA1,True
N^^Q_NIL_1,stability,2025-07-23 17:36:15,2025-07-23 18:34:47,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1166.9,VIC1,False
V^MLTS1-HYTS_E,voltage,2025-08-12 23:57:43,2025-08-13 02:56:03,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1704.2,VIC1,False
N^^Q_NIL_1,thermal,2025-07-13 11:05:29,2025-07-13 14:43:19,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,1265.0,SA1,True
F_I+LREG+ML_RREG_0600,thermal,2025-02-23 05:30:04,2025-02-24 16:40:38,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1685.3,QLD1,True
V^MLTS1-HYTS_E,stability,2025-11-16 16:15:23,2025-11-16 18:29:19,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,1118.0,SA1,False
N_X_HYTS_GUN_1,stability,2025-03-13 10:20:27,2025-03-13 22:01:51,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,864.8,TAS1,False
N_X_HYTS_GUN_1,thermal,2025-08-05 23:16:34,2025-08-06 18:10:58,Overload protection — Moorabool substation transformer loading above summer rating.,1177.6,TAS1,False
Q_PQ_NIL_RADL_1,stability,2025-01-06 03:04:20,2025-01-07 03:30:51,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1536.1,SA1,False
NSW_VIC_LOCAT_1,voltage,2025-03-20 13:42:23,2025-03-22 00:49:35,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1292.4,QLD1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-11-05 07:26:38,2025-11-07 16:03:54,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1606.5,VIC1,False
V^HYTS_MLTS_N,voltage,2024-11-28 22:52:40,2024-11-29 01:00:06,Frequency control constraint — insufficient inertia from synchronous generation online.,356.8,NSW1,False
Q^^Q_NIL_PEAK_1530,stability,2024-12-25 19:53:57,2024-12-26 01:21:42,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,1124.3,VIC1,False
F_MAIN+ML_MR_0600,thermal,2025-11-19 11:32:04,2025-11-20 17:55:49,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,975.9,NSW1,False
NSW_VIC_LOCAT_1,voltage,2025-05-28 17:42:01,2025-05-31 01:40:25,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,625.3,TAS1,False
S^NIL_PEAK_1530_3,stability,2025-05-07 08:01:58,2025-05-07 11:51:41,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,420.5,VIC1,False
NSW_VIC_LOCAT_1,stability,2024-12-24 11:20:58,2024-12-25 04:18:57,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,291.9,TAS1,False
S_RADIAL_SA_1,voltage,2025-05-10 14:38:21,2025-05-11 01:57:49,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,1360.2,TAS1,False
S_RADIAL_SA_1,stability,2025-09-26 06:07:52,2025-09-26 06:48:46,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1615.5,SA1,False
F_MAIN+ML_MR_0600,voltage,2025-04-03 00:41:11,2025-04-03 12:04:06,Basslink thermal constraint — sustained high power flow activating wet-end protection.,635.3,NSW1,False
V^MLTS1-HYTS_E,stability,2025-06-18 09:18:29,2025-06-18 17:17:59,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,1449.7,SA1,False
Q_PQ_NIL_RADL_1,thermal,2025-03-20 14:29:05,2025-03-20 15:21:24,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,126.7,QLD1,False
NSW_VIC_LOCAT_1,thermal,2025-08-07 18:03:49,2025-08-09 22:10:38,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1093.7,NSW1,False
S^NIL_PEAK_1530_3,stability,2025-03-09 13:08:37,2025-03-09 13:48:57,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,890.1,QLD1,False
NSW_VIC_LOCAT_1,thermal,2025-01-14 00:34:39,2025-01-14 03:56:19,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1573.7,TAS1,True
N_X_HYTS_GUN_1,stability,2025-03-30 01:17:29,2025-03-30 13:49:04,Overload protection — Moorabool substation transformer loading above summer rating.,1255.7,VIC1,False
N^^Q_NIL_1,stability,2025-06-14 13:23:44,2025-06-14 14:27:34,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,897.6,SA1,False
V^HYTS_MLTS_N,stability,2025-09-07 22:38:44,2025-09-07 23:16:20,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1417.7,QLD1,False
N^^Q_NIL_1,stability,2025-11-20 13:17:07,2025-11-20 15:40:56,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1749.7,TAS1,False
F_I+LREG+ML_RREG_0600,stability,2025-07-05 09:49:11,2025-07-05 12:23:00,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,81.0,TAS1,False
V^MLTS1-HYTS_E,stability,2025-07-19 08:23:49,2025-07-19 17:41:55,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1317.2,NSW1,False
F_MAIN+ML_MR_0600,thermal,2025-07-03 23:08:00,2025-07-03 23:59:32,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1514.4,NSW1,True
V^HYTS_MLTS_N,voltage,2025-11-17 13:30:33,2025-11-17 18:40:10,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,517.3,VIC1,False
N^^Q_NIL_1,stability,2025-07-17 15:20:27,2025-07-19 14:20:15,Basslink thermal constraint — sustained high power flow activating wet-end protection.,71.5,VIC1,False
V^MLTS1-HYTS_E,stability,2025-09-04 06:40:27,2025-09-04 09:02:20,Radial supply security constraint — South Australia import capacity limit reached.,292.8,SA1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-11-07 09:46:42,2025-11-07 12:51:41,Overload protection — Moorabool substation transformer loading above summer rating.,212.3,NSW1,True
F_MAIN+ML_MR_0600,stability,2025-10-22 10:22:03,2025-10-22 10:36:21,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,258.2,SA1,False
N_X_HYTS_GUN_1,stability,2025-03-02 11:09:42,2025-03-02 11:36:12,Frequency control constraint — insufficient inertia from synchronous generation online.,102.6,SA1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-01-17 21:25:27,2025-01-17 23:21:29,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1588.8,NSW1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-08-24 02:36:22,2025-08-24 04:37:39,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,442.0,SA1,True
S_RADIAL_SA_1,thermal,2025-09-25 16:44:23,2025-09-27 05:16:56,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1495.6,VIC1,False
N_X_HYTS_GUN_1,thermal,2025-08-03 19:03:01,2025-08-03 20:41:02,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1522.5,VIC1,False
Q_PQ_NIL_RADL_1,stability,2024-11-29 10:56:27,2024-11-29 15:43:23,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,890.1,NSW1,False
S_RADIAL_SA_1,thermal,2025-04-20 04:24:43,2025-04-20 12:12:40,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,625.4,TAS1,True
V^MLTS1-HYTS_E,stability,2025-05-31 01:02:16,2025-06-01 04:57:35,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,239.5,NSW1,False
V^MLTS1-HYTS_E,stability,2025-08-18 06:29:51,2025-08-18 15:55:03,Radial supply security constraint — South Australia import capacity limit reached.,506.6,QLD1,False
F_I+LREG+ML_RREG_0600,thermal,2025-01-22 03:45:17,2025-01-23 04:37:26,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,865.1,TAS1,True
V^MLTS1-HYTS_E,voltage,2024-12-19 14:28:01,2024-12-19 20:46:31,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1104.8,SA1,False
V^MLTS1-HYTS_E,stability,2025-05-27 07:49:29,2025-05-27 23:26:52,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1428.0,TAS1,False
S^NIL_PEAK_1530_3,thermal,2025-02-16 02:40:17,2025-02-16 04:31:12,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,218.7,VIC1,False
F_I+LREG+ML_RREG_0600,stability,2025-05-31 13:32:23,2025-06-01 01:00:20,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,615.9,VIC1,False
S^NIL_PEAK_1530_3,stability,2025-11-19 22:52:27,2025-11-20 21:04:18,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1183.4,VIC1,False
F_MAIN+ML_MR_0600,thermal,2025-01-25 09:29:35,2025-01-25 10:25:56,Basslink thermal constraint — sustained high power flow activating wet-end protection.,1532.8,SA1,False
V^HYTS_MLTS_N,thermal,2025-04-13 17:25:01,2025-04-13 17:48:03,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,259.1,SA1,True
F_MAIN+ML_MR_0600,thermal,2025-03-19 18:13:51,2025-03-19 21:50:47,Radial supply security constraint — South Australia import capacity limit reached.,1388.3,TAS1,False
V_XEMPT_MAIN+ML,voltage,2025-08-09 18:11:48,2025-08-09 23:17:23,Radial supply security constraint — South Australia import capacity limit reached.,859.0,QLD1,False
Q^^Q_NIL_PEAK_1530,stability,2025-03-29 01:36:20,2025-03-29 04:20:19,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,513.9,VIC1,False
F_I+LREG+ML_RREG_0600,thermal,2025-07-22 22:09:31,2025-07-23 02:15:51,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,209.5,SA1,False
F_MAIN+ML_MR_0600,thermal,2025-07-26 23:38:10,2025-07-27 12:14:42,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1557.6,TAS1,False
S_RADIAL_SA_1,stability,2025-06-23 03:17:47,2025-06-23 03:34:37,Overload protection — Moorabool substation transformer loading above summer rating.,791.5,TAS1,False
V_XEMPT_MAIN+ML,voltage,2025-04-13 20:05:06,2025-04-14 01:14:51,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,958.9,NSW1,False
S^NIL_PEAK_1530_3,voltage,2024-12-21 19:09:29,2024-12-21 20:46:05,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,836.8,VIC1,False
F_I+LREG+ML_RREG_0600,thermal,2025-05-02 03:00:45,2025-05-04 23:33:13,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,133.8,SA1,False
V_XEMPT_MAIN+ML,voltage,2025-05-26 19:31:48,2025-05-27 10:56:21,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1067.2,NSW1,False
V^MLTS1-HYTS_E,voltage,2025-10-18 16:01:26,2025-10-18 18:50:37,Radial supply security constraint — South Australia import capacity limit reached.,579.7,TAS1,False
V^HYTS_MLTS_N,thermal,2025-09-02 15:31:09,2025-09-02 20:39:06,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,1493.4,QLD1,False
F_MAIN+ML_MR_0600,stability,2025-07-28 09:35:44,2025-07-29 00:18:10,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,1297.4,TAS1,False
N_X_HYTS_GUN_1,stability,2025-08-11 02:40:34,2025-08-11 06:33:43,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,718.8,VIC1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-11-05 15:25:11,2025-11-05 17:06:19,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,1767.8,SA1,False
V^GUNNQ_MUGG_E,stability,2025-02-27 01:58:57,2025-02-27 10:38:29,Overload protection — Moorabool substation transformer loading above summer rating.,1462.0,SA1,False
N_X_HYTS_GUN_1,voltage,2025-05-04 06:21:38,2025-05-04 06:41:30,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1029.2,NSW1,False
V^MLTS1-HYTS_E,voltage,2025-10-24 20:33:09,2025-10-24 21:42:28,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1469.4,NSW1,False
V^HYTS_MLTS_N,voltage,2025-06-12 19:09:00,2025-06-12 22:00:47,Overload protection — Moorabool substation transformer loading above summer rating.,593.2,TAS1,False
V^GUNNQ_MUGG_E,voltage,2025-05-09 22:25:35,2025-05-10 12:43:21,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,1293.4,QLD1,False
V^HYTS_MLTS_N,thermal,2024-11-23 16:26:00,2024-11-23 22:19:32,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1195.2,VIC1,True
