report_id,report_type,reporting_period,region,jurisdiction,submission_date,submitted_by,status,report_content,compliance_status
RPT-4EB276AC,SAIFI_annual,FY2324,QLD,QLD,2024-04-25,A.Vasquez@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2324. System Average Interruption Frequency Index: 1.7447 interruptions per customer. Regulatory target: 92.7000 interruptions per customer. Status: exceeding. Total customer-interruptions recorded: 125,713. Frequency performance improvement of 5.4% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-8DDF7B90,SAIDI_monthly,2023-08,WA,WA,2025-11-09,S.Mehta@regulation.com.au,submitted,"Monthly SAIDI Performance Report — 2023-08. Total System Average Interruption Duration Index for the reporting period: 43.71 minutes. Target threshold per Distribution Licence Condition 7.3: 132.8 minutes. Performance is within target. Major contributing event categories: equipment failure (28%), weather-related (22%), vegetation (50%). Three significant outage events contributed 54% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-WA and F83-WA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-E89D9BF8,SAIFI_annual,FY2324,WA,WA,2023-08-06,D.O'Brien@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2324. System Average Interruption Frequency Index: 0.7865 interruptions per customer. Regulatory target: 86.4000 interruptions per customer. Status: exceeding. Total customer-interruptions recorded: 26,812. Frequency performance improvement of 9.2% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-D414E06D,AER_performance,FY2324,NSW,NSW,2024-03-24,J.Thornton@network.com.au,accepted,"AER Annual Performance Report — FY2324. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $355.6M (approved allowance: $418.0M). Operating expenditure: $86.0M (approved allowance: $98.4M). Network reliability: SAIDI 68.49 min (target 97.0 min), SAIFI 0.5696 (target 1.8401). Customer complaints: 1543 (prior year: 505). Demand-side participation programme enrolled 2,737 customers, reducing peak demand by 19.5 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-53F81864,AEMO_market,Q4-2024,SA,AEMO,2025-01-02,P.Kavanagh@network.com.au,accepted,"AEMO Market Operations Report — Q4-2024. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 2815.6 GWh. Demand response activations: 0 events, total volume 195.8 MWh. Frequency performance: 99.4% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 0. Causer pays liability for period: $174,449. Market systems availability: 99.52%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",non_compliant
RPT-B48EA6E9,SAIDI_monthly,2023-03,QLD,QLD,2023-09-01,C.Williamson@regulation.com.au,accepted,"Monthly SAIDI Performance Report — 2023-03. Total System Average Interruption Duration Index for the reporting period: 104.89 minutes. Target threshold per Distribution Licence Condition 7.3: 119.1 minutes. Performance is within target. Major contributing event categories: equipment failure (32%), weather-related (33%), vegetation (35%). Three significant outage events contributed 30% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-QLD and F83-QLD. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-B95D0171,SAIDI_monthly,2022-06,WA,WA,2025-05-15,C.Williamson@regulation.com.au,accepted,"Monthly SAIDI Performance Report — 2022-06. Total System Average Interruption Duration Index for the reporting period: 29.07 minutes. Target threshold per Distribution Licence Condition 7.3: 101.3 minutes. Performance is within target. Major contributing event categories: equipment failure (43%), weather-related (20%), vegetation (37%). Three significant outage events contributed 52% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-WA and F83-WA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",non_compliant
RPT-65C1F8A3,AEMO_market,Q2-2023,NSW,AEMO,2025-12-06,R.Krishnamurthy@network.com.au,accepted,"AEMO Market Operations Report — Q2-2023. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 2094.2 GWh. Demand response activations: 1 events, total volume 217.3 MWh. Frequency performance: 98.2% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 7. Causer pays liability for period: $68,942. Market systems availability: 99.94%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-49773A59,SAIDI_monthly,2024-01,VIC,VIC,2025-09-24,R.Krishnamurthy@network.com.au,submitted,"Monthly SAIDI Performance Report — 2024-01. Total System Average Interruption Duration Index for the reporting period: 95.55 minutes. Target threshold per Distribution Licence Condition 7.3: 94.9 minutes. Performance is exceeding target. Major contributing event categories: equipment failure (39%), weather-related (32%), vegetation (29%). Three significant outage events contributed 60% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-VIC and F83-VIC. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-6CF164E1,SAIDI_monthly,2023-08,SA,SA,2025-01-03,L.Anderson@corp.com.au,submitted,"Monthly SAIDI Performance Report — 2023-08. Total System Average Interruption Duration Index for the reporting period: 63.13 minutes. Target threshold per Distribution Licence Condition 7.3: 117.5 minutes. Performance is within target. Major contributing event categories: equipment failure (42%), weather-related (32%), vegetation (26%). Three significant outage events contributed 54% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-BC9BC6A5,AEMO_market,Q4-2025,VIC,AEMO,2025-12-14,R.Krishnamurthy@network.com.au,rejected,"AEMO Market Operations Report — Q4-2025. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 2587.9 GWh. Demand response activations: 15 events, total volume 284.4 MWh. Frequency performance: 97.7% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 1. Causer pays liability for period: $194,522. Market systems availability: 99.56%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",non_compliant
RPT-C3032793,AEMO_market,Q3-2024,WA,AEMO,2025-10-17,F.Nakamura@corp.com.au,accepted,"AEMO Market Operations Report — Q3-2024. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 1387.3 GWh. Demand response activations: 17 events, total volume 135.8 MWh. Frequency performance: 96.3% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 2. Causer pays liability for period: $148,393. Market systems availability: 99.00%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-1CC33743,AER_performance,FY2223,NSW,NSW,2022-04-06,A.Vasquez@network.com.au,accepted,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $348.4M (approved allowance: $391.0M). Operating expenditure: $157.7M (approved allowance: $162.4M). Network reliability: SAIDI 53.87 min (target 80.8 min), SAIFI 0.6292 (target 1.6852). Customer complaints: 1011 (prior year: 1226). Demand-side participation programme enrolled 6,000 customers, reducing peak demand by 37.8 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-E7A462E4,SAIDI_monthly,2025-07,SA,SA,2025-12-22,F.Nakamura@corp.com.au,accepted,"Monthly SAIDI Performance Report — 2025-07. Total System Average Interruption Duration Index for the reporting period: 29.67 minutes. Target threshold per Distribution Licence Condition 7.3: 91.6 minutes. Performance is within target. Major contributing event categories: equipment failure (42%), weather-related (37%), vegetation (21%). Three significant outage events contributed 44% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-ADCC7363,AEMO_market,Q2-2022,QLD,AEMO,2022-11-17,J.Thornton@network.com.au,submitted,"AEMO Market Operations Report — Q2-2022. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 4107.9 GWh. Demand response activations: 16 events, total volume 307.4 MWh. Frequency performance: 99.3% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 4. Causer pays liability for period: $212,396. Market systems availability: 99.70%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-E6E138E5,AER_performance,FY2223,NSW,NSW,2025-09-14,P.Kavanagh@network.com.au,accepted,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $242.2M (approved allowance: $244.2M). Operating expenditure: $100.2M (approved allowance: $101.2M). Network reliability: SAIDI 90.57 min (target 131.8 min), SAIFI 0.5193 (target 1.9745). Customer complaints: 342 (prior year: 2603). Demand-side participation programme enrolled 3,161 customers, reducing peak demand by 7.8 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-2A2EFD41,SAIDI_monthly,2022-01,NSW,NSW,2023-02-27,S.Mehta@regulation.com.au,submitted,"Monthly SAIDI Performance Report — 2022-01. Total System Average Interruption Duration Index for the reporting period: 62.21 minutes. Target threshold per Distribution Licence Condition 7.3: 136.7 minutes. Performance is within target. Major contributing event categories: equipment failure (43%), weather-related (31%), vegetation (26%). Three significant outage events contributed 49% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-NSW and F83-NSW. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-C500FA8D,SAIDI_monthly,2023-12,VIC,VIC,2025-04-15,F.Nakamura@corp.com.au,accepted,"Monthly SAIDI Performance Report — 2023-12. Total System Average Interruption Duration Index for the reporting period: 75.89 minutes. Target threshold per Distribution Licence Condition 7.3: 88.5 minutes. Performance is within target. Major contributing event categories: equipment failure (25%), weather-related (30%), vegetation (45%). Three significant outage events contributed 39% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-VIC and F83-VIC. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-24403A0A,AER_performance,FY2526,SA,SA,2025-03-16,D.O'Brien@regulation.com.au,submitted,"AER Annual Performance Report — FY2526. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $143.5M (approved allowance: $150.4M). Operating expenditure: $171.6M (approved allowance: $195.0M). Network reliability: SAIDI 79.73 min (target 132.1 min), SAIFI 1.6476 (target 1.6936). Customer complaints: 2674 (prior year: 57). Demand-side participation programme enrolled 5,850 customers, reducing peak demand by 47.3 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-CC2D9A4D,SAIFI_annual,FY2223,VIC,VIC,2023-08-20,J.Thornton@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 1.1256 interruptions per customer. Regulatory target: 94.9000 interruptions per customer. Status: within. Total customer-interruptions recorded: 85,713. Frequency performance improvement of 11.8% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-DEAC9D95,SAIFI_annual,FY2526,QLD,QLD,2026-01-03,D.O'Brien@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2526. System Average Interruption Frequency Index: 1.5964 interruptions per customer. Regulatory target: 110.8000 interruptions per customer. Status: within. Total customer-interruptions recorded: 112,169. Frequency performance improvement of 6.7% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-38AE80C7,SAIDI_monthly,2022-04,QLD,QLD,2025-08-13,P.Kavanagh@network.com.au,accepted,"Monthly SAIDI Performance Report — 2022-04. Total System Average Interruption Duration Index for the reporting period: 119.01 minutes. Target threshold per Distribution Licence Condition 7.3: 88.9 minutes. Performance is exceeding target. Major contributing event categories: equipment failure (45%), weather-related (37%), vegetation (18%). Three significant outage events contributed 32% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-QLD and F83-QLD. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",non_compliant
RPT-DE73E885,AER_performance,FY2223,VIC,VIC,2022-12-01,L.Anderson@corp.com.au,accepted,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $115.9M (approved allowance: $107.8M). Operating expenditure: $134.7M (approved allowance: $135.8M). Network reliability: SAIDI 42.22 min (target 105.9 min), SAIFI 0.8357 (target 1.8055). Customer complaints: 2146 (prior year: 238). Demand-side participation programme enrolled 780 customers, reducing peak demand by 35.6 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-EFB7918E,SAIFI_annual,FY2526,WA,WA,2025-09-10,D.O'Brien@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2526. System Average Interruption Frequency Index: 1.2551 interruptions per customer. Regulatory target: 136.9000 interruptions per customer. Status: within. Total customer-interruptions recorded: 11,679. Frequency performance improvement of -0.3% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-9DD0E8FC,SAIDI_monthly,2024-11,SA,SA,2025-09-17,L.Anderson@corp.com.au,accepted,"Monthly SAIDI Performance Report — 2024-11. Total System Average Interruption Duration Index for the reporting period: 25.84 minutes. Target threshold per Distribution Licence Condition 7.3: 128.2 minutes. Performance is within target. Major contributing event categories: equipment failure (35%), weather-related (22%), vegetation (43%). Three significant outage events contributed 46% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-28B1C3C1,AEMO_market,Q2-2024,VIC,AEMO,2025-09-14,J.Thornton@network.com.au,accepted,"AEMO Market Operations Report — Q2-2024. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 2150.2 GWh. Demand response activations: 13 events, total volume 130.5 MWh. Frequency performance: 99.1% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 9. Causer pays liability for period: $203,619. Market systems availability: 99.11%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-79942451,AER_performance,FY2526,WA,WA,2025-10-04,R.Krishnamurthy@network.com.au,accepted,"AER Annual Performance Report — FY2526. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $378.7M (approved allowance: $371.3M). Operating expenditure: $178.1M (approved allowance: $168.0M). Network reliability: SAIDI 27.59 min (target 137.1 min), SAIFI 0.9936 (target 1.6769). Customer complaints: 2074 (prior year: 2704). Demand-side participation programme enrolled 4,712 customers, reducing peak demand by 21.8 MW. Pricing methodology compliant with approved tariff structure statement.",non_compliant
RPT-47F3501D,SAIDI_monthly,2022-09,NSW,NSW,2024-06-21,J.Thornton@network.com.au,accepted,"Monthly SAIDI Performance Report — 2022-09. Total System Average Interruption Duration Index for the reporting period: 104.36 minutes. Target threshold per Distribution Licence Condition 7.3: 105.0 minutes. Performance is within target. Major contributing event categories: equipment failure (40%), weather-related (30%), vegetation (30%). Three significant outage events contributed 48% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-NSW and F83-NSW. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",non_compliant
RPT-20FD8185,AEMO_market,Q4-2023,NSW,AEMO,2024-08-26,F.Nakamura@corp.com.au,accepted,"AEMO Market Operations Report — Q4-2023. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 1450.7 GWh. Demand response activations: 13 events, total volume 188.4 MWh. Frequency performance: 96.7% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 3. Causer pays liability for period: $134,781. Market systems availability: 99.87%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-E00DAA47,AER_performance,FY2526,VIC,VIC,2025-10-03,S.Mehta@regulation.com.au,draft,"AER Annual Performance Report — FY2526. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $105.7M (approved allowance: $100.7M). Operating expenditure: $135.2M (approved allowance: $139.4M). Network reliability: SAIDI 100.92 min (target 93.9 min), SAIFI 1.6260 (target 1.3395). Customer complaints: 1076 (prior year: 1651). Demand-side participation programme enrolled 3,944 customers, reducing peak demand by 72.0 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-A8773741,SAIFI_annual,FY2223,WA,WA,2023-09-02,F.Nakamura@corp.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 1.3989 interruptions per customer. Regulatory target: 86.1000 interruptions per customer. Status: exceeding. Total customer-interruptions recorded: 40,363. Frequency performance improvement of -2.1% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-8160188B,ESC_compliance,Q1-2025,VIC,VIC,2025-02-24,F.Nakamura@corp.com.au,submitted,"Energy and Water Ombudsman / ESC Compliance Report — Q1-2025. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 2278. Complaints resolved within 10 business days: 92%. Unplanned interruptions — guaranteed service levels met: 96%. GSL payments made: 26 totalling $13,750. Wrongful disconnection events: 2. Hardship programme enrolments: 1,508. Planned interruption notice compliance: 95% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-8DB5EE51,SAIDI_monthly,2025-09,QLD,QLD,2025-11-09,A.Vasquez@network.com.au,accepted,"Monthly SAIDI Performance Report — 2025-09. Total System Average Interruption Duration Index for the reporting period: 93.62 minutes. Target threshold per Distribution Licence Condition 7.3: 100.6 minutes. Performance is within target. Major contributing event categories: equipment failure (26%), weather-related (35%), vegetation (39%). Three significant outage events contributed 58% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-QLD and F83-QLD. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-D17F47F2,AEMO_market,Q4-2022,VIC,AEMO,2024-04-07,L.Anderson@corp.com.au,submitted,"AEMO Market Operations Report — Q4-2022. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 3766.2 GWh. Demand response activations: 0 events, total volume 418.3 MWh. Frequency performance: 99.3% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 6. Causer pays liability for period: $38,042. Market systems availability: 99.07%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-9C9B2300,SAIDI_monthly,2025-06,SA,SA,2025-07-10,P.Kavanagh@network.com.au,accepted,"Monthly SAIDI Performance Report — 2025-06. Total System Average Interruption Duration Index for the reporting period: 32.54 minutes. Target threshold per Distribution Licence Condition 7.3: 81.9 minutes. Performance is within target. Major contributing event categories: equipment failure (41%), weather-related (20%), vegetation (39%). Three significant outage events contributed 54% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-EAB9AADA,ESC_compliance,Q2-2025,VIC,VIC,2025-09-15,F.Nakamura@corp.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q2-2025. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 1023. Complaints resolved within 10 business days: 94%. Unplanned interruptions — guaranteed service levels met: 92%. GSL payments made: 168 totalling $8,059. Wrongful disconnection events: 1. Hardship programme enrolments: 572. Planned interruption notice compliance: 99% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-DE258384,SAIDI_monthly,2023-12,VIC,VIC,2025-07-27,C.Williamson@regulation.com.au,accepted,"Monthly SAIDI Performance Report — 2023-12. Total System Average Interruption Duration Index for the reporting period: 92.68 minutes. Target threshold per Distribution Licence Condition 7.3: 107.2 minutes. Performance is within target. Major contributing event categories: equipment failure (33%), weather-related (28%), vegetation (39%). Three significant outage events contributed 58% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-VIC and F83-VIC. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-F27C1437,SAIDI_monthly,2025-11,WA,WA,2025-11-14,R.Krishnamurthy@network.com.au,accepted,"Monthly SAIDI Performance Report — 2025-11. Total System Average Interruption Duration Index for the reporting period: 31.90 minutes. Target threshold per Distribution Licence Condition 7.3: 130.9 minutes. Performance is within target. Major contributing event categories: equipment failure (40%), weather-related (25%), vegetation (35%). Three significant outage events contributed 39% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-WA and F83-WA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-FE8AE2E6,SAIDI_monthly,2025-04,NSW,NSW,2025-09-13,L.Anderson@corp.com.au,submitted,"Monthly SAIDI Performance Report — 2025-04. Total System Average Interruption Duration Index for the reporting period: 29.66 minutes. Target threshold per Distribution Licence Condition 7.3: 130.8 minutes. Performance is within target. Major contributing event categories: equipment failure (44%), weather-related (30%), vegetation (26%). Three significant outage events contributed 35% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-NSW and F83-NSW. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",non_compliant
RPT-07FFA5D4,SAIDI_monthly,2025-03,NSW,NSW,2025-05-03,F.Nakamura@corp.com.au,draft,"Monthly SAIDI Performance Report — 2025-03. Total System Average Interruption Duration Index for the reporting period: 110.26 minutes. Target threshold per Distribution Licence Condition 7.3: 104.3 minutes. Performance is exceeding target. Major contributing event categories: equipment failure (41%), weather-related (24%), vegetation (35%). Three significant outage events contributed 56% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-NSW and F83-NSW. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-4B5CB263,SAIDI_monthly,2025-09,NSW,NSW,2025-12-14,P.Kavanagh@network.com.au,accepted,"Monthly SAIDI Performance Report — 2025-09. Total System Average Interruption Duration Index for the reporting period: 29.39 minutes. Target threshold per Distribution Licence Condition 7.3: 111.3 minutes. Performance is within target. Major contributing event categories: equipment failure (43%), weather-related (24%), vegetation (33%). Three significant outage events contributed 41% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-NSW and F83-NSW. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-5C55DC19,ESC_compliance,Q2-2025,VIC,VIC,2025-12-07,A.Vasquez@network.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q2-2025. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 2622. Complaints resolved within 10 business days: 95%. Unplanned interruptions — guaranteed service levels met: 96%. GSL payments made: 10 totalling $7,447. Wrongful disconnection events: 2. Hardship programme enrolments: 931. Planned interruption notice compliance: 91% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-D2FDA2F1,SAIFI_annual,FY2425,WA,WA,2025-10-21,L.Anderson@corp.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2425. System Average Interruption Frequency Index: 1.7138 interruptions per customer. Regulatory target: 111.5000 interruptions per customer. Status: within. Total customer-interruptions recorded: 196,641. Frequency performance improvement of -1.6% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-E6B8B3E2,ESC_compliance,Q4-2022,VIC,VIC,2022-04-03,A.Vasquez@network.com.au,rejected,"Energy and Water Ombudsman / ESC Compliance Report — Q4-2022. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 1033. Complaints resolved within 10 business days: 87%. Unplanned interruptions — guaranteed service levels met: 92%. GSL payments made: 12 totalling $4,305. Wrongful disconnection events: 8. Hardship programme enrolments: 1,233. Planned interruption notice compliance: 88% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",non_compliant
RPT-A1EFD984,ESC_compliance,Q4-2023,VIC,VIC,2024-02-21,J.Thornton@network.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q4-2023. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 732. Complaints resolved within 10 business days: 99%. Unplanned interruptions — guaranteed service levels met: 98%. GSL payments made: 173 totalling $7,773. Wrongful disconnection events: 6. Hardship programme enrolments: 1,553. Planned interruption notice compliance: 89% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-69E4FF00,SAIFI_annual,FY2223,VIC,VIC,2023-12-11,F.Nakamura@corp.com.au,submitted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 1.3722 interruptions per customer. Regulatory target: 82.1000 interruptions per customer. Status: within. Total customer-interruptions recorded: 152,156. Frequency performance improvement of 12.2% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-1306F5DD,SAIFI_annual,FY2324,WA,WA,2024-08-29,C.Williamson@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2324. System Average Interruption Frequency Index: 0.6728 interruptions per customer. Regulatory target: 138.1000 interruptions per customer. Status: within. Total customer-interruptions recorded: 50,177. Frequency performance improvement of -2.0% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-F73C6810,AEMO_market,Q2-2023,WA,AEMO,2024-06-09,L.Anderson@corp.com.au,accepted,"AEMO Market Operations Report — Q2-2023. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 1782.2 GWh. Demand response activations: 16 events, total volume 65.2 MWh. Frequency performance: 98.9% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 3. Causer pays liability for period: $78,104. Market systems availability: 99.31%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
